OU_NAME,TOTAL_AMOUNT_USD,Season Split Year Grouping,Season Split Sort,Fiscal Year
DAKINE EQUIPMENT LLC. (OU),120.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),120.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),48.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),52.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),52.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),52.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),105.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),52.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),52.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),80.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),52.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),105.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),52.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),157.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),52.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),131.15,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),105.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),32.40,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),32.40,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),36.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),16.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),16.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),52.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),105.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),105.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),52.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),10.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),19.40,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),30.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),30.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),21.60,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),120.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),10.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),10.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),17.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),35.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),21.60,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),72.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),32.40,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),32.40,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),36.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),72.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),16.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),16.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),10.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),21.60,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),43.20,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),24.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),32.40,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),32.40,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),36.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),22.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),22.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),44.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),44.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),32.40,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),32.40,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),36.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),14.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),14.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),36.87,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),72.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),144.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),48.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),96.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),120.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),72.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),32.40,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),17.50,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),35.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),48.60,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),48.60,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),54.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),54.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),0.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),0.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),0.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),0.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),0.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),32.40,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),21.60,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),36.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),90.00,2020,001,2021
DAKINE EQUIPMENT LLC. (OU),48.60,2020,001,2021
